f_gender,f_age,f_height,f_shoe_size*,f_number_of_pets*,f_platinum_albums*,f_weekly_workouts*,f_number_of_siblings*,f_pokemon_collected*,f_facebook_friends_count,f_facebook_photos_count,m_gender,m_age,m_height,m_shoe_size*,m_number_of_pets*,m_platinum_albums*,m_weekly_workouts*,m_number_of_siblings*,m_pokemon_collected*,m_facebook_friends_count,m_facebook_photos_count,members_became_friends
female,26,68,6.5,7.5,8,8,8.5,8,978,230,male,25,68,5.5,8,7.5,8,8.5,7.5,688,226,FALSE
female,26,69,7.5,7.5,8,8,7,7.5,1680,510,male,29,75,7,7.5,7.5,8,8,7.5,334,71,TRUE
female,23,60,5.5,7.5,7,7.5,7.5,7,1570,427,male,24,71,6,7.5,7.5,7.5,7,7.5,685,230,FALSE
female,26,66,6.5,8,7.5,7.5,7.5,7.5,1149,229,male,27,67,6,7.5,7,8,7.5,7,1128,230,TRUE
female,23,68,6,7.5,7.5,7.5,7.5,7.5,1393,230,male,24,71,6.5,7.5,7.5,7.5,7.5,7.5,909,230,TRUE
female,26,72,5,8,7.5,8,7.5,7.5,817,229,male,26,65,5,8.5,7.5,8,8,7.5,876,230,FALSE
female,27,69,5.5,8,7,8,7.5,8,512,357,male,26,72,6,8,7.5,7.5,7.5,7.5,566,254,FALSE
female,22,63,6,7.5,7.5,7.5,8,7.5,538,420,male,23,70,6,7.5,7.5,7.5,8,7.5,1046,495,TRUE
female,23,62,5,8,7.5,8,8,7,1671,544,male,24,67,5,8,7.5,8,8.5,7.5,1194,445,FALSE
female,28,71,6,8,7.5,7.5,7.5,7.5,979,163,male,31,72,6,8,7.5,7.5,7.5,7.5,759,334,TRUE
female,24,70,6.5,7.5,8,8,7.5,7.5,1296,230,male,27,72,6,7.5,7.5,7.5,7.5,7.5,1171,230,FALSE
female,22,67,6.5,7.5,7.5,8,8.5,7.5,1360,229,male,23,71,6,7.5,8,7.5,7.5,7.5,1729,269,FALSE
female,24,62,5,8.5,7.5,8,8.5,8,1013,553,male,23,71,5.5,8,7.5,8,8,7.5,1079,188,FALSE
female,29,66,4.5,8.5,7,8,7,7,576,403,male,30,69,4.5,7.5,7.5,7.5,8.5,7.5,969,201,FALSE
female,26,65,5,7.5,8,7.5,8,7.5,769,455,male,24,68,5.5,7.5,7.5,8,7.5,7.5,650,230,TRUE
female,28,65,5.5,8,7.5,8,7.5,7.5,342,227,male,33,72,6,8.5,7.5,8,7.5,7.5,619,190,TRUE
female,23,67,6,7.5,7.5,7.5,8,8,1251,230,male,25,70,5,7.5,7.5,7.5,7,7,850,44,TRUE
female,28,63,5.5,8,7.5,7.5,8.5,8,768,441,male,26,68,5,8,7,8,8,7.5,527,143,TRUE
female,24,62,5.5,7.5,8,8,7.5,7,1975,430,male,26,66,5,9,7.5,8.5,7.5,7.5,1244,211,TRUE
female,23,69,6,7.5,7.5,7.5,7.5,7,2084,422,male,25,73,6,7.5,7,7.5,7,7,1371,216,TRUE
female,28,68,7,8,7,7.5,7.5,7,1106,496,male,23,67,6,8,7.5,8,7,7,659,428,TRUE
female,26,64,7,7.5,7.5,7.5,8.5,7.5,1717,216,male,27,72,6,8,7.5,8,8.5,7.5,1382,230,TRUE
female,29,64,5.5,8.5,7.5,8,8,7.5,441,230,male,32,74,6,8,7.5,8.5,7.5,7.5,940,218,TRUE
female,29,66,6.5,8,7.5,8,8,7.5,675,503,male,27,73,4.5,7.5,7.5,7.5,7.5,7.5,1323,814,TRUE
female,29,64,5,7.5,7.5,7.5,7.5,7.5,553,111,male,31,72,5.5,7.5,7,7.5,7,7,638,166,TRUE
female,22,61,5,7.5,7.5,7,7.5,8,706,639,male,25,67,5.5,8,7.5,8,7,7.5,822,373,TRUE
female,23,64,7,7.5,7.5,7.5,7.5,7.5,1251,228,male,24,73,8,8,7.5,7.5,7.5,7.5,776,186,FALSE
female,21,62,7,7.5,7,7.5,7.5,7.5,1448,230,male,23,68,7,7.5,7,7.5,7,7.5,1077,219,FALSE
female,23,67,5.5,7.5,7,8,7.5,7.5,1904,413,male,23,74,5.5,7.5,7.5,8,8.5,7.5,2347,426,FALSE
female,26,62,6,8,7.5,8,7,7.5,620,30,male,30,67,6,8,7.5,7.5,7.5,7.5,939,410,TRUE
female,29,67,4.5,8.5,7,8,7,7.5,1039,517,male,31,70,6,8,7.5,8,8.5,7.5,1370,449,TRUE
female,26,65,5.5,7.5,7.5,7.5,7.5,7.5,1115,541,male,25,71,6,8,7,7.5,7,7,614,380,FALSE
female,26,69,5.5,8,7.5,7.5,8,7.5,692,436,male,25,71,6,7.5,7.5,7.5,7.5,7.5,557,230,TRUE
female,22,66,4.5,8,7,8,7.5,7.5,1222,657,male,23,65,3.5,7.5,7.5,7.5,7,7.5,1662,403,FALSE
female,25,66,6.5,8,7.5,8,8.5,7.5,1073,370,male,25,76,5.5,8,7.5,8,8,7.5,779,243,TRUE
female,27,71,5.5,8.5,7.5,8,7.5,7.5,437,400,male,29,70,4,7.5,7,7.5,8,7.5,157,70,TRUE
female,24,62,5.5,8,7.5,7.5,8,7.5,561,429,male,25,71,5.5,7.5,7.5,7.5,7,7.5,318,171,FALSE
female,27,68,5.5,7.5,7,8,8,7,526,400,male,26,70,5.5,8.5,7,8,7.5,7.5,1197,230,FALSE
female,23,65,5.5,8,7.5,8,7,7.5,983,230,male,24,74,6,8,7.5,7.5,7.5,7.5,811,230,FALSE
female,26,68,5,8,7.5,8,8,7.5,1370,486,male,29,70,5.5,8,7,7.5,7,7.5,646,214,FALSE
female,24,63,4.5,7.5,7.5,8,7,7.5,1444,455,male,23,72,5.5,8,7.5,7.5,7.5,7.5,1046,436,TRUE
female,27,63,5.5,7.5,7.5,7.5,7.5,7.5,1209,508,male,25,72,7,7.5,7.5,7.5,7.5,7.5,519,497,TRUE
female,26,62,6,8,7.5,8.5,8.5,7.5,421,451,male,27,66,5.5,8.5,7.5,8.5,7.5,7.5,472,213,TRUE
female,27,66,5.5,7.5,7.5,7.5,8.5,7.5,1680,222,male,28,70,6.5,7.5,7.5,8,8,7.5,632,185,TRUE
female,26,65,6,8,7.5,8,7.5,7.5,1140,230,male,26,72,6,8,7.5,8,7.5,7.5,1045,222,FALSE
female,27,62,4.5,7.5,7.5,7.5,7,7.5,84,228,male,27,70,6,7.5,8,6.5,7,7.5,654,229,FALSE
female,24,68,6,7.5,7.5,7.5,7.5,7.5,3162,659,male,27,69,5.5,7.5,7.5,7.5,7.5,7.5,537,225,TRUE
female,25,64,6.5,7.5,7,7.5,7,7.5,1151,664,male,27,69,5.5,8,7.5,8,7.5,7.5,1701,230,TRUE
female,23,63,5.5,7.5,7,8,7,7,1119,488,male,24,70,5,7.5,7,7.5,7.5,7.5,891,222,TRUE
female,27,65,6,7.5,7,7.5,7,7,1726,517,male,25,74,5,8,7.5,7.5,8,7.5,93,175,FALSE
female,25,71,6.5,8,7.5,8,7.5,7,1425,689,male,25,71,6.5,8,7.5,7.5,7.5,7,716,578,TRUE
female,28,64,6,7.5,7.5,7.5,7.5,7.5,594,358,male,28,74,5,8.5,7.5,8.5,8.5,7.5,882,193,TRUE
female,22,68,5.5,8,7.5,8,8.5,7.5,1469,229,male,24,71,5.5,7.5,7.5,8.5,7,7.5,594,201,FALSE
female,26,66,6.5,7.5,7,8,7,7,783,230,male,26,71,5,7.5,7,7.5,7,7,471,32,TRUE
female,27,68,5,7.5,7.5,8,7.5,7,619,378,male,24,64,4.5,8.5,7.5,8,8,7.5,937,297,TRUE
female,22,62,3.5,8,7.5,8,7.5,7.5,771,497,male,25,74,7,7.5,8,7.5,7.5,7.5,970,510,FALSE
female,27,64,6.5,7.5,7.5,7.5,7.5,7.5,1135,434,male,27,69,6.5,8,7.5,8,7,7.5,1516,490,TRUE
female,26,63,5,8,7,8,7,7,718,403,male,25,68,5,8,7.5,8,7.5,7.5,673,245,TRUE
female,25,65,7.5,7.5,7.5,7.5,7.5,7.5,658,513,male,25,68,5,8,7.5,7.5,7.5,7.5,797,437,TRUE
female,23,62,5,7.5,7.5,7.5,7.5,7.5,469,229,male,22,71,6,8,7.5,8.5,7.5,7.5,840,228,TRUE
female,25,64,6.5,7.5,7.5,8,7.5,7.5,1047,348,male,25,72,4.5,8.5,7.5,8,8,7.5,1995,230,TRUE
female,25,63,6,7.5,7.5,7.5,7.5,7.5,1317,230,male,27,72,6,7.5,7.5,7.5,8.5,8,668,189,TRUE
female,22,64,6.5,8,7.5,8.5,7.5,7.5,1091,230,male,29,70,5.5,8,7,8.5,8.5,8,867,213,FALSE
female,26,67,6.5,7.5,7.5,7.5,8,7.5,1011,230,male,27,80,6.5,8,7.5,8,8.5,7.5,2398,225,TRUE
female,27,60,4.5,7.5,7,8,7,7.5,1184,452,male,25,67,5.5,7.5,7,7.5,7,7.5,765,59,TRUE
female,24,69,6,7.5,7.5,7.5,7.5,7.5,531,210,male,26,71,6,7.5,7.5,7.5,7,7.5,415,19,FALSE
female,29,65,5,7.5,7,8,7,7.5,683,226,male,29,77,5,8,7,7.5,7.5,7.5,412,202,FALSE
female,24,64,4.5,7.5,7.5,7.5,7.5,7.5,1796,228,male,25,70,6,7.5,7.5,7.5,8,7,719,224,FALSE
female,26,61,6,8,7,8,8.5,7,851,430,male,25,72,7.5,8,7.5,8,8.5,7.5,1710,522,TRUE
female,25,70,5.5,7.5,7.5,7.5,8,7.5,545,230,male,28,71,6,8,7.5,7.5,7.5,7.5,828,441,FALSE
female,26,67,5,8,7.5,8,8,7.5,904,402,male,28,69,7.5,8,7,8,8,8,278,20,TRUE
female,22,67,6.5,7.5,7.5,7.5,7.5,7.5,1014,230,male,24,72,6,7.5,7.5,7.5,7.5,7.5,699,229,TRUE
female,23,67,6.5,8,7.5,8,7,7,697,404,male,25,72,5,7.5,7.5,7.5,7,7.5,615,308,TRUE
female,25,62,5.5,7,7.5,7.5,7.5,7,430,197,male,23,70,5.5,7.5,7.5,7.5,8,7.5,411,195,TRUE
female,24,66,7,8,7.5,8,7.5,7.5,1212,673,male,28,72,6,8.5,7.5,8,7.5,7.5,245,75,FALSE
female,23,62,5.5,7.5,7.5,8,8,7,1517,230,male,23,67,5.5,7.5,7.5,7.5,7.5,7.5,537,229,FALSE
female,29,63,4.5,7.5,7,8,7,7.5,799,441,male,28,72,5.5,8,7,7.5,7,7,354,152,FALSE
female,26,61,6,7.5,8,8,9,7.5,1531,230,male,31,69,6,8.5,7.5,8,8,8,1318,229,FALSE
female,23,65,6,8,7.5,8,7.5,7.5,2164,502,male,22,72,6.5,7.5,7.5,7.5,7,7.5,2261,92,FALSE
female,29,65,5.5,7.5,7.5,7.5,7.5,7.5,513,544,male,34,68,4.5,8,7.5,7.5,8.5,8,1255,70,FALSE
female,28,63,6,7.5,7,8,7,7,580,229,male,28,70,5,7.5,7,7.5,7,7.5,442,205,FALSE
female,25,69,6,7.5,7.5,8,7,7.5,943,407,male,25,72,6,7.5,7,8,7,7.5,1094,363,FALSE
female,25,64,5.5,7.5,7.5,8,8,7.5,724,386,male,25,76,5.5,7.5,7.5,7.5,8,7,798,227,TRUE
female,25,66,5,7.5,7,7.5,7,7.5,1487,400,male,25,69,5,7.5,7,7.5,7,7,499,114,FALSE
female,29,62,5.5,7.5,7.5,7.5,7,7.5,1002,275,male,25,70,4.5,7.5,7.5,7.5,7.5,7.5,962,432,TRUE
female,22,62,5.5,7.5,7.5,7.5,8,7.5,1238,230,male,25,69,6,7.5,7.5,8,7,7.5,870,230,FALSE
female,27,67,7,7.5,7.5,7.5,7,7.5,1416,637,male,28,72,5,7.5,7,8,7,7,938,230,FALSE
female,25,62,6,8,7,8,7,7.5,955,512,male,27,74,7,7.5,7,7.5,6.5,7,388,214,TRUE
female,23,64,6,8.5,7,8,7,7.5,916,465,male,23,68,5.5,8,7,8,8,7.5,1543,434,FALSE
female,25,69,5.5,7.5,7.5,7.5,7.5,7.5,684,575,male,26,73,6,7.5,7.5,7.5,7.5,7,985,226,FALSE
female,24,68,5.5,7.5,7.5,7.5,6.5,7,831,488,male,25,66,6.5,7.5,7,8,7.5,7.5,1270,433,TRUE
female,21,69,6.5,7,7.5,7.5,8,7.5,630,230,male,22,67,5.5,8,7,8,7,7.5,586,227,FALSE
female,24,66,6,8,7.5,8.5,8,7.5,624,229,male,23,74,5,7.5,7.5,8,8,7.5,876,219,FALSE
female,25,61,5.5,8,7,8.5,7,7.5,324,230,male,28,71,5,7,7,7,7.5,7.5,199,253,FALSE
female,23,68,6,8,7.5,8,7.5,7.5,2222,403,male,25,70,6.5,8,8,8,7.5,7.5,941,213,TRUE
female,21,65,6,7.5,8,8,8.5,7.5,981,223,male,22,71,6,8,7.5,8.5,7.5,7.5,930,230,FALSE
female,23,71,6,7.5,8,8,7.5,7.5,1453,229,male,26,71,6,7.5,7.5,8,8.5,7.5,452,206,TRUE
female,24,63,6.5,7.5,7.5,7.5,7,7.5,1678,511,male,23,72,6,8,7.5,8,8,7.5,589,541,TRUE
female,24,64,5,7.5,7.5,7.5,7.5,7,1244,428,male,25,72,5,8.5,7,8,7,7.5,2435,186,TRUE
female,26,68,6,7.5,7.5,7.5,7.5,7.5,894,450,male,26,69,6,8,7.5,8,8.5,7.5,907,405,FALSE
female,25,67,5.5,7.5,7.5,7.5,8,7,1380,498,male,25,70,6.5,8,7.5,8,8,7.5,802,184,TRUE
female,22,64,6.5,8,7.5,8,7,7,1577,230,male,26,78,7,7,7,7,7,10,1288,196,TRUE
female,28,62,5.5,7.5,7,7.5,7.5,7,516,230,male,28,71,5.5,7.5,7.5,8,7,7.5,939,207,FALSE
female,23,63,7,8,7.5,8,7.5,7.5,1764,612,male,27,73,6.5,8.5,7.5,8,8,7.5,636,492,TRUE
female,26,64,8,8,7,8,7,7,824,61,male,28,73,5,7.5,7.5,8,8,7.5,592,175,TRUE
female,24,68,7,7.5,8,7.5,8,7.5,1586,639,male,25,70,8.5,9,8.5,9,9,9,1911,670,TRUE
female,24,73,5,8,7.5,7.5,7.5,7.5,514,472,male,27,71,5.5,8,7.5,7.5,7.5,7,799,339,FALSE
female,23,66,5,7.5,7.5,8,7.5,7.5,845,400,male,24,70,5,8,7.5,8,7.5,7.5,819,400,FALSE
female,22,62,5,8,7,8,8.5,7,1838,453,male,24,71,5.5,8,7.5,8,7.5,7.5,1098,230,FALSE
female,23,61,4.5,7.5,7.5,7.5,7.5,7.5,823,420,male,24,71,6.5,8,7,8,7.5,7,924,482,TRUE
female,21,68,7,7.5,7.5,7.5,8,7,1474,230,male,21,69,6,8,7.5,8,8,7,1636,229,FALSE
female,29,67,5,8.5,7.5,8,8.5,8,530,392,male,25,70,6,8,7.5,8,8.5,8,780,376,TRUE
female,25,64,5,8.5,7.5,8.5,8,7.5,802,208,male,27,70,5.5,8,7.5,7.5,7.5,7.5,481,410,TRUE
female,25,65,5.5,8,7.5,7.5,8,7.5,1324,440,male,27,71,7,7,7,7,7,7,2193,520,TRUE
female,23,63,7.5,7.5,7.5,8,7,7,694,230,male,23,74,7,8,7.5,8,8,7.5,939,327,TRUE
female,25,60,5.5,7.5,7,8,7,7,653,413,male,25,74,6,7.5,7.5,7.5,7.5,7.5,2074,230,TRUE
female,23,69,5.5,7.5,7,7.5,7.5,7.5,867,486,male,24,67,5.5,7.5,7,7.5,7,7,604,215,FALSE
female,23,68,4.5,8,7,8,7.5,7.5,872,458,male,25,67,5,7.5,7,7.5,7.5,7.5,626,231,FALSE
female,23,61,4,7.5,7.5,8,7.5,7,1821,534,male,24,72,6,8,7.5,8,8,7.5,604,413,FALSE
female,28,62,5.5,7.5,7.5,8,7.5,7.5,320,551,male,28,73,6,7.5,8,8,7.5,7.5,957,209,TRUE
female,28,70,7,8,8,7.5,7.5,7.5,771,302,male,27,72,6.5,7.5,8.5,7.5,8.5,7.5,645,343,TRUE
female,23,66,6,7.5,7,8,7,6.5,1013,455,male,23,72,4.5,7.5,7,8,7,7.5,1309,442,TRUE
female,23,62,5.5,8,7.5,8,7.5,7.5,496,470,male,24,72,6,7.5,7.5,8,7.5,7.5,926,657,FALSE
female,24,59,5,7.5,7.5,7.5,7,7.5,1818,511,male,25,72,7,7.5,7.5,7.5,7.5,7.5,535,580,TRUE
female,27,60,4.5,7.5,7.5,8,7,7,940,513,male,26,75,4.5,7.5,7,8,7.5,7.5,241,421,TRUE
female,26,69,5.5,7.5,7,7.5,7,7,5083,161,male,32,72,3.5,7.5,7,8,7,7,565,303,FALSE
female,29,67,5,7.5,7.5,7.5,7.5,7.5,860,492,male,29,72,6,8,7.5,8,7.5,7.5,666,455,FALSE
female,27,73,7,7.5,7.5,7.5,7.5,7.5,777,318,male,30,72,6.5,7.5,8,7.5,7.5,7,772,352,TRUE
female,25,66,5,8,7.5,7.5,7.5,7.5,805,559,male,25,69,5,8,7.5,7.5,7.5,7.5,1437,312,TRUE
female,24,65,5.5,7.5,7,7.5,7.5,7,1400,230,male,24,70,6,7.5,7,7.5,7.5,7,580,229,TRUE
female,24,66,6.5,8,7.5,8,7.5,7.5,1159,512,male,26,73,5,7.5,7.5,7.5,7.5,7.5,605,323,FALSE
female,23,66,6,8,7.5,8.5,7.5,7.5,936,230,male,23,72,6.5,8.5,7.5,8.5,7.5,7.5,1269,200,TRUE
female,23,70,5.5,8,7.5,7.5,7,7.5,1223,488,male,25,72,5,8,7.5,7.5,7,7.5,393,130,FALSE
female,26,64,5,7.5,7.5,7.5,7.5,7.5,979,213,male,25,73,6,7.5,7.5,7.5,7.5,7.5,895,221,TRUE
female,22,68,6,7.5,7.5,7.5,7.5,7.5,948,230,male,23,74,6,8,8,8,8,7.5,792,429,TRUE
female,22,70,6,8,7.5,8,7.5,7.5,1092,230,male,23,73,6.5,8,7.5,8,7,7.5,1573,230,FALSE
female,23,68,5.5,7.5,7,7.5,7,7.5,985,516,male,31,73,5.5,7.5,7.5,7.5,8,7.5,568,181,FALSE
female,24,65,5,7.5,7,7.5,7.5,7.5,696,207,male,26,70,5,7.5,7.5,8,7.5,7.5,998,230,TRUE
female,32,61,4.5,7.5,7,7.5,7,7,260,74,male,25,74,6,7.5,7.5,7.5,7.5,7.5,358,165,FALSE
female,24,65,5,7.5,7.5,7.5,7.5,7.5,789,674,male,25,73,6,7.5,7.5,7.5,7.5,7.5,527,224,FALSE
female,25,61,5.5,8.5,7.5,8.5,7.5,7.5,629,220,male,24,72,6.5,8,7.5,7.5,7.5,7.5,523,541,TRUE
female,23,66,6,7.5,7,7.5,7,7,1599,484,male,26,71,6,7.5,7,8,7.5,7.5,1236,505,TRUE
female,23,66,6,7.5,7,7.5,7,7,508,218,male,23,69,6,8,7,8,7,7.5,891,229,FALSE
female,23,67,7.5,7.5,7.5,7.5,7,7.5,811,230,male,23,71,6,8,7.5,8,8,7.5,840,351,FALSE
female,22,69,6,7.5,8,8,8,7.5,1339,230,male,23,69,5,7.5,7.5,7.5,9,7.5,1006,229,FALSE
female,29,69,6,7.5,7.5,7.5,7.5,7.5,620,271,male,34,70,7.5,8,7,8,7,7.5,1456,214,TRUE
female,25,67,5.5,7.5,7.5,7.5,7.5,7.5,1283,211,male,26,74,6,7.5,6.5,7,7.5,7.5,2137,205,TRUE
female,27,62,6,7.5,7.5,7.5,8,8,1018,404,male,27,71,5.5,8,7.5,8,8,7.5,866,214,TRUE
female,25,62,5,7.5,7.5,7.5,7.5,7.5,2713,230,male,27,73,6,7.5,7.5,7.5,7.5,7.5,1184,230,TRUE
female,22,63,6,7.5,8,7.5,8,7.5,1393,228,male,23,75,7,7.5,8,7.5,8.5,8,1328,116,FALSE
female,28,64,5,7.5,8,7.5,8,7.5,637,95,male,30,71,4.5,8,7,8,7.5,7.5,1300,277,TRUE
female,25,61,5.5,7.5,7,8,7.5,7.5,317,101,male,25,70,6.5,8,7.5,8,7.5,7.5,779,230,FALSE
female,27,74,5.5,8,7.5,8,7.5,7.5,863,523,male,30,74,6,8,7.5,8,7,7.5,674,210,TRUE
female,24,63,7,7,7,7,7,7,1671,515,male,23,70,6.5,8,7.5,8,8,7.5,457,164,TRUE
female,24,69,6,8,8,8,8.5,7.5,856,541,male,25,70,5.5,7.5,8,7.5,7.5,7.5,945,194,FALSE
female,26,65,5.5,7.5,7,7.5,7,7.5,1170,555,male,27,69,5,7.5,7,8,7,7.5,591,176,FALSE
female,23,67,6.5,7.5,7.5,7.5,7.5,7,905,230,male,28,76,6,7.5,7.5,8,8.5,7.5,1385,448,TRUE
female,27,69,5,7.5,7.5,7.5,7.5,7.5,359,230,male,25,76,6.5,8.5,6.5,7.5,7.5,7.5,457,229,FALSE
female,22,66,6.5,8.5,7,8,7.5,7,848,228,male,22,74,6,8.5,7,8,7.5,7.5,1001,230,FALSE
female,24,68,5.5,8,7.5,8,8,7.5,681,411,male,23,71,6,8,7.5,7.5,7.5,7.5,925,412,TRUE
female,26,64,6.5,8,7.5,8,7.5,7.5,1111,574,male,28,74,6.5,8,7.5,8,7,7.5,874,357,FALSE
female,26,68,5,8,7,8,8,7.5,923,467,male,25,70,5.5,7.5,7.5,7.5,7,7.5,721,132,FALSE
female,24,63,8,7.5,7.5,7.5,7.5,7.5,1800,409,male,27,68,6,8,7.5,7.5,7.5,7.5,1051,443,TRUE
female,24,66,6,7.5,7.5,7.5,7,7.5,1117,230,male,26,72,5.5,7.5,7.5,7.5,7.5,7.5,1025,230,TRUE
female,27,63,5.5,7.5,7.5,7.5,7.5,7.5,1209,508,male,27,68,5.5,7.5,7.5,7.5,8,7.5,572,23,TRUE
female,27,64,7,8,7.5,8,8,7.5,652,140,male,28,69,5,8,7.5,7.5,8.5,7.5,853,152,FALSE
female,23,66,6.5,8,7.5,8,7,7.5,910,469,male,25,74,6.5,8,7.5,7.5,8,7.5,951,381,TRUE
female,26,63,6.5,7.5,7.5,7.5,7,7,1945,217,male,25,71,7,7.5,7.5,7.5,7.5,7.5,1740,208,TRUE
female,23,66,6,7.5,7.5,7.5,7,7,841,479,male,25,70,5.5,8,7.5,8,7.5,7.5,1024,419,TRUE
female,23,62,6,8,7.5,7.5,8.5,7.5,1288,504,male,27,69,5,7.5,7.5,7.5,8,7.5,1034,284,TRUE
female,25,63,5.5,7.5,7,8,7.5,7.5,1030,230,male,23,69,5.5,7.5,7,7.5,7,7,521,143,TRUE
female,27,65,6.5,8,7.5,7.5,7.5,7,527,317,male,26,72,4,7.5,7.5,7.5,7,7.5,862,221,FALSE
female,24,61,6,7.5,7.5,7.5,8,7.5,841,227,male,25,67,5,7.5,7.5,7.5,7.5,7.5,821,203,TRUE
female,27,63,5.5,8,7,8,7.5,7.5,576,469,male,29,70,4,7.5,7,7.5,8,7.5,157,70,FALSE
female,29,63,4.5,8,7,8,7,7,362,408,male,26,67,5,8,7,8,8,7.5,586,213,FALSE
female,23,66,5,7.5,7.5,7.5,7.5,7.5,1121,229,male,29,67,5,7.5,7.5,7.5,7.5,7.5,505,208,TRUE
female,27,64,6,8,7.5,8,8,7.5,1366,491,male,27,72,6,8,8,8,8,8,821,236,TRUE
female,25,66,6,8,7,8,7.5,7.5,1220,230,male,24,72,5.5,7.5,7.5,7.5,8,7.5,680,213,FALSE
female,23,65,5.5,8,7.5,8,8,7.5,1858,230,male,27,70,6,7.5,7,7.5,8,7.5,486,33,FALSE
female,26,65,5.5,7.5,7.5,7.5,7.5,7,568,191,male,27,69,5.5,7.5,7.5,8,8,7.5,1962,406,FALSE
female,28,65,6,8,7.5,7.5,7,7.5,971,105,male,28,74,5.5,8,7,8.5,6.5,6.5,259,218,FALSE
female,25,69,5.5,8,7,8,7,7,220,230,male,24,67,5.5,8.5,7.5,8,7.5,7.5,1261,229,FALSE
female,22,66,6,8,7.5,8,8,7.5,1877,228,male,22,72,5.5,8,7.5,8,8,7.5,820,228,FALSE
female,23,65,5.5,8,7.5,8,7,7.5,860,441,male,24,71,5.5,7.5,7,8,7.5,7.5,434,230,FALSE
female,24,73,6,7.5,7.5,7.5,8.5,7.5,1276,461,male,24,75,6.5,8,7.5,8,7.5,7.5,1054,414,TRUE
female,25,65,5.5,8,7.5,7.5,8,7.5,1133,230,male,26,67,5,8,7.5,7.5,8,8,647,205,TRUE
female,26,69,8,7.5,8,7.5,7,7.5,794,443,male,28,75,8,8,7.5,8,7.5,7.5,704,523,TRUE
female,23,66,6.5,7.5,7.5,7.5,7.5,7.5,1857,581,male,24,75,7,8,7.5,8,8,7.5,1278,474,TRUE
female,27,64,5,8,7.5,8,7.5,7.5,1077,491,male,28,68,5.5,8,7,8,7,7.5,928,476,FALSE
female,23,70,8,5,8.5,6,8.5,8,855,406,male,27,74,6,8,8,8,8,7.5,1163,448,TRUE
female,24,64,6.5,8,7,8,7.5,7,1026,230,male,26,75,5,8,7.5,8,7.5,7.5,912,219,FALSE
female,26,63,6.5,8,7.5,8,8,7.5,1916,230,male,26,70,5.5,8,7.5,8,8,7.5,881,212,TRUE
female,23,68,5.5,7.5,7,7,7,7,131,51,male,23,72,7,7.5,7.5,7.5,7,7,722,216,FALSE
female,23,62,6,7.5,7.5,7.5,8,7.5,1006,437,male,23,70,5.5,7.5,7,8,8,7.5,472,211,TRUE
female,25,64,5,8,7,8,7.5,7.5,752,410,male,26,72,6,7.5,7.5,7.5,8,7.5,1979,130,TRUE
female,29,71,6.5,8,7.5,8,8.5,7.5,721,412,male,32,70,4.5,8,7,7.5,7.5,7.5,1446,53,TRUE
female,28,65,5,8,7.5,7.5,8,8,318,30,male,30,72,5.5,7.5,7.5,7.5,7,7.5,1010,228,FALSE
female,25,69,6.5,8,7.5,8,7,7.5,611,458,male,26,72,6,8,7,7.5,7,7,216,443,FALSE
female,24,64,6,7.5,7.5,7.5,7.5,7.5,1145,230,male,27,73,6,7.5,7.5,7.5,8,7.5,535,209,TRUE
female,23,69,6.5,7.5,7.5,7.5,7,7.5,985,225,male,25,74,6,7.5,7.5,7.5,7.5,7.5,1430,229,TRUE
female,27,62,5.5,7.5,7.5,8,7.5,7.5,1256,466,male,29,69,5.5,8,7.5,6,7.5,7.5,1088,464,TRUE
female,27,71,7.5,8.5,8,8.5,8.5,8,921,422,male,28,73,6,8,7.5,7.5,7.5,7.5,930,240,FALSE
female,28,66,5,7,7.5,7.5,7.5,7.5,1659,334,male,31,72,6.5,7.5,7.5,7.5,7.5,7.5,201,95,TRUE
female,24,66,6.5,8,8,7.5,7.5,7.5,690,410,male,24,71,6.5,8,7.5,8,8,7.5,1108,401,TRUE
female,26,62,6.5,8,7.5,8,8.5,8,1543,400,male,26,68,5.5,7.5,7.5,7.5,7.5,7.5,934,230,TRUE
female,29,66,5.5,8,7.5,8,8.5,8,1387,593,male,31,73,3,7,8,7.5,8,8,693,288,FALSE
female,28,68,5,8,7.5,8,7,7.5,358,111,male,32,73,5.5,8,7,7.5,8,7.5,490,121,FALSE
female,22,69,5.5,8.5,7.5,8,8,7.5,1049,230,male,25,72,5,7.5,7,7.5,8,7.5,1093,124,FALSE
female,22,70,6,7.5,7.5,7,8,7.5,1101,230,male,22,71,6.5,7.5,8,7.5,8.5,8,1839,229,FALSE
female,25,63,5.5,8,7.5,8,7.5,7.5,712,377,male,28,68,6,7.5,7,7.5,7,7.5,686,587,FALSE
female,24,69,5.5,8.5,7.5,8.5,8,7.5,948,435,male,25,70,6,8,7.5,8,8,7.5,471,155,TRUE
female,27,64,6,7.5,7.5,8,7.5,7.5,1473,230,male,26,69,5.5,7.5,7,8,7.5,7,427,230,TRUE
female,29,65,6,7.5,7,7.5,7.5,7.5,529,585,male,27,73,7.5,8,7.5,8.5,7,7.5,831,467,TRUE
female,28,64,5.5,7.5,7.5,7.5,7,7.5,449,217,male,28,70,6,8,7.5,8,7.5,7.5,958,522,TRUE
female,27,66,5,8,7,8,7.5,7.5,1142,409,male,30,68,4.5,8,6.5,8,7.5,7.5,432,207,TRUE
